title,start,end,location,date,published
Flight to DC,16:55:00,18:03:00,414 Grant St.,3/3/2014,3/3/2014
Speaking at National Bike Summit,8:00:00,9:15:00,"Location:Renaissance Downtown Hotel, 999 9th Street Northwest, Washington, DC 20001",3/4/2014,3/4/2014
Returning to Pittsburgh,10:00:00,0:00:00,414 Grant St.,3/4/2014,3/4/2014
Working in Office,14:00:00,18:00:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/4/2014,3/4/2014
Call into WDVE,8:15:00,8:20:00,414 Grant St.,3/5/2014,3/5/2014
Meeting with Dr. Lane and Nina Esposito-Visgitis,9:00:00,10:00:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/5/2014,3/5/2014
Meeting with Ecolumens Executives,10:00:00,11:00:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/5/2014,3/5/2014
Cameo appearance in eco short film produced by YERT,11:30:00,11:45:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/5/2014,3/5/2014
Meeting with Bob Bauder,14:00:00,14:30:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/5/2014,3/5/2014
Meeting with County Executive Rich Fitzgerald,14:30:00,15:30:00,"County Execuitve&#39;s office, 436 Grant Street, Pittsburgh, PA 15219",3/5/2014,3/5/2014
Meeting with Bob Kennedy and Jeff Romoff,15:30:00,16:30:00,414 Grant St.,3/5/2014,3/5/2014
Meeting with Robert Grah,17:30:00,18:00:00,414 Grant St.,3/5/2014,3/5/2014
Presenting Business Bout Awards,18:30:00,19:30:00,"Thrill Mill, Inc.6024 Broad Street, Pittsburgh PA 15206",3/5/2014,3/5/2014
Working in Office,10:00:00,11:00:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/6/2014,3/6/2014
Meeting with Councilwoman Smith and Chiefs,11:00:00,11:45:00,"Mayor&#39;s conference room, 414 Grant Street, Pittsburgh, PA 15219",3/6/2014,3/6/2014
Working in Office,12:00:00,15:30:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/6/2014,3/6/2014
Meeting with EU Ambassador Vale De Almeida,15:30:00,16:30:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/6/2014,3/6/2014
NAIOP Pittsburgh Annual Awards Banquet,17:30:00,19:30:00,"David Lawrence Convention Center,1000 Fort Duquesne Blvd, Pittsburgh, PA 15222",3/6/2014,3/6/2014
Iron Lung Hockey League Game,22:15:00,23:15:00,"Location:Olympic Arena, 7600 Grand Avenue, Pittsburgh, PA 15225",3/6/2014,3/6/2014
Giving remarks at the Greater Pittsburgh Community Leaders Prayer Breakfast,7:30:00,8:00:00,"Sheraton Station Square Hotel,300 W Station Square Dr, Pittsburgh, PA 15219",3/7/2014,3/7/2014
Meeting with Judge Wecht,10:00:00,10:15:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/7/2014,3/7/2014
Meeting with Bob Ewanco,11:00:00,11:45:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/7/2014,3/7/2014
Lunch with Councilman O'Connor,12:00:00,13:00:00,414 Grant St.,3/7/2014,3/7/2014
Working in Office,13:00:00,16:30:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/7/2014,3/7/2014
Call with Mac Miller,16:30:00,17:00:00,414 Grant St.,3/7/2014,3/7/2014
St. Patrick's Day Button Party,17:30:00,18:00:00,"Mitchell&#39;s Restaurant, 304 Ross Street, Pittsburgh, PA 15219",3/7/2014,3/7/2014
16th Annual SEAD St. Patrick's Day Pre-Endorsement Rally,18:30:00,19:00:00,"Royal Place, 2660 Library Road, Pittsburgh, PA 15234",3/7/2014,3/7/2014
"Press conference- Secretary of Education Arne Duncan to announce Pittsburgh as one of the cities that have been awarded \Community Conversation\"" grants from the National League of Cities""",10:30:00,0:00:00,"Marriott Wardman Park,2660 Woodley Rd NW, Washington, DC 20008",3/10/2014,3/10/2014
NLC's Mayor Education Reform Task Force,11:30:00,13:00:00,"Marriott Wardman Park,2660 Woodley Rd NW, Washington, DC 20008",3/10/2014,3/10/2014
DMO Council of State Chairs Meeting,12:15:00,14:00:00,"Marriott Wardman Park,2660 Woodley Rd NW, Washington, DC 20008",3/10/2014,3/10/2014
Tom Wolf endorsement,13:00:00,13:30:00," Allegheny County Courthouse, 436 Grant Street, Pittsburgh, PA 15219",3/8/2014,3/9/2014
JCC Big Night,19:30:00,20:30:00,"5738 Forbes Ave, Pittsburgh, PA 15217",3/8/2014,3/9/2014
Leave for DC for NLC Congressional Cities Conference,13:30:00,14:00:00,"Washington, DC",3/9/2014,3/9/2014
PA Delegation dinner hosted by PML,18:30:00,20:00:00,"Café Paradiso 2649 Connecticut Ave NW, Washington, DC 20008",3/9/2014,3/9/2014
"DMO National \Oh So Blue\"" Breakfast""",7:00:00,8:30:00,"2660 Woodley Road Northwest, Washington, DC 2008",3/11/2014,3/11/2014
Opening remarks for CEHACF Cross-Site Meeting,8:30:00,9:30:00,"Omni Shoreham Hotel, 2500 Calvert Street, Washington, DC 20008",3/11/2014,3/11/2014
"Leave Washington, D.C.",10:30:00,0:00:00,414 Grant St.,3/11/2014,3/11/2014
Working in Office,14:00:00,18:00:00,"414 Grant Street, Pittsburgh, PA 15219",3/11/2014,3/11/2014
Reception honoring PA Auditor General Eugene DePasquale,8:00:00,9:30:00,"Location:Allegheny HYP Club, 619 William Penn Place, Pittsburgh, PA 15219",3/12/2014,3/12/2014
Greet bus of Pittsburgh Life Science leaders heading to PA Bio Annual Dinner,9:30:00,0:00:00,"414 Grant Street, Pittsburgh, PA 15219",3/12/2014,3/12/2014
Presenting proclamtion to City Clerk Linda Johnson-Wasler,10:00:00,0:00:00,"414 Grant Street, Pittsburgh, PA 15219",3/12/2014,3/12/2014
Interview with WTAE TV,10:45:00,11:00:00,"414 Grant Street, Pittsburgh, PA 15219",3/12/2014,3/12/2014
"Short cameo in \Rex\"" film about the life and legacy of DR. Rex L. Crawley""",11:00:00,11:05:00,"414 Grant Street, Pittsburgh, PA 15219",3/12/2014,3/12/2014
Essential Pittsburgh radio show on WESA,12:00:00,12:30:00,"Location:WESA Studio, 67 Bedford Square, Pittsburgh, PA 15203",3/12/2014,3/12/2014
Working in Office,13:00:00,15:30:00,"414 Grant Street, Pittsburgh, PA 15219",3/12/2014,3/12/2014
Call with NLC,15:30:00,16:00:00,414 Grant St.,3/12/2014,3/12/2014
Meeting with Breathe Project,16:00:00,16:30:00,"414 Grant Street, Pittsburgh, PA 15219",3/12/2014,3/12/2014
WPXI Interview at Conn-Grab Boxing Club,17:30:00,18:00:00,"Location:Conn-Greb Boxing Club - Royal York Apartment Bldg, 3955 Bigelow Blvd, PIttsburgh, PA 15213",3/12/2014,3/12/2014
Duquesne University School of Education Community Forum,18:15:00,19:00:00,"Location:600 Forbes Ave, Pittsburgh, Pennsylvania 15219",3/12/2014,3/12/2014
Muscular Dystrophy Association 10th Annual Pittsburgh Muscle Team,19:30:00,20:30:00,"Heinz Field,100 Art Rooney Ave, Pittsburgh, PA 15212",3/12/2014,3/12/2014
KQV Radio Interview,8:30:00,8:35:00,414 Grant St.,3/13/2014,3/13/2014
CONNECT Executive Committee Meeting,10:00:00,12:00:00,"Location:Bellevue Municipal Building, 537 Bayne Avenue, Bellevue, PA 15202",3/13/2014,3/13/2014
Meeting with County Executive Rich Fitzgerald,13:00:00,13:30:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/13/2014,3/13/2014
Press Conference with Governor re: Act 47,14:00:00,15:00:00,"Mayor&#39;s conference room, 414 Grant Street, Pittsburgh, PA 15219",3/13/2014,3/13/2014
Retiree Reception,15:00:00,15:15:00,"Council Chambers, 414 Grant Street, Pittsburgh, PA 15219",3/13/2014,3/13/2014
Speaking at meeting with Grantmakers of Western PA,15:30:00,3:30:00,"Location:Duquesne Club,325 6th Ave, Pittsburgh, PA 15222",3/13/2014,3/13/2014
Speaking at Master Builder's Association Meeting,18:00:00,18:45:00,"Location:Olive Or Twist, 140 6th Street, Pittsburgh, PA 15222",3/13/2014,3/13/2014
Speaking at PDCDC Downtown Experience Awards Dinner,19:00:00,19:45:00,"River&#39;s Club,301 Grant St, Pittsburgh, PA 15219",3/13/2014,3/13/2014
Iron Lung Hockey League Game,22:15:00,23:15:00,"Location:Olympic Arena, 7600 Grand Avenue, Pittsburgh, PA 15225",3/13/2014,3/13/2014
"Speaking at Man-Up event hosted byChildren&rsquo;s Hospital of Pittsburgh Foundation, FISA Foundation, and Heinz Endowments",9:00:00,9:30:00,"University Club, 123 University Place, Pittsburgh, PA 15260",3/14/2014,3/14/2014
Meeting with Society for Technical Communication,10:00:00,10:15:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/14/2014,3/14/2014
Meeting with Rich Caponi,10:30:00,11:15:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/14/2014,3/14/2014
St. Patrick's Day Meet and Greet with Grand Marshall and Miss Smiling Irish Eyes,11:30:00,12:00:00,"River&#39;s Club,301 Grant Street, Pittsburgh, PA 15219",3/14/2014,3/14/2014
"Dollar Energy Fund Warmathon \Lunch with Mayor\"" Winners luncheon""",12:00:00,13:00:00,"Mayor&#39;s Conference room, 414 Grant Street, Pittsburgh, PA 15219",3/14/2014,3/14/2014
Meeting with Senator Toomey,13:45:00,14:30:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/14/2014,3/14/2014
Meeting with Caster Binion,14:30:00,15:00:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/14/2014,3/14/2014
Working in Office,15:00:00,18:00:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/14/2014,3/14/2014
Answering emails,9:00:00,11:00:00,414 Grant St.,3/17/2014,3/17/2014
Meeting with Kevin Acklin and Robert Rubinstein,11:00:00,11:45:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/17/2014,3/17/2014
Speaking at Jewish Professional Network's luncheon meeting,12:00:00,13:00:00,"Location:Clark Hill Thorp Reed, One Oxford Centre, 301 Grant Street, Pittsburgh, PA 15219",3/17/2014,3/17/2014
Meeting with Michael Zamaigas,13:00:00,14:00:00,"Duquesne Club,325 6th Ave, Pittsburgh, PA 15222",3/17/2014,3/17/2014
Meeting with Councilwoman Smith and Chiefs,14:30:00,15:15:00,"Mayor&#39;s conference room, 414 Grant Street, Pittsburgh, PA 15219",3/17/2014,3/17/2014
Meeting with Jim Williams,15:30:00,16:00:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/17/2014,3/17/2014
Weekly Chief Meeting,16:00:00,17:00:00,"Mayor&#39;s conference room, 414 Grant Street, Pittsburgh, PA 15219",3/17/2014,3/17/2014
"Meeting with Mayor of San Juan, Puerto Rico",17:30:00,18:00:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/17/2014,3/17/2014
Meeting with COO Forum of Pittsburgh,19:00:00,9:00:00,"River&#39;s Club,301 Grant Street, Pittsburgh, PA 15219",3/18/2014,3/18/2014
Meeting with Coca-Cola,10:00:00,10:30:00,"Mayor&#39;s Office, 414 Grant Street, Pittsburgh, PA 15219",3/18/2014,3/18/2014
Meeting with Marco Cardamone,10:30:00,11:30:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/18/2014,3/18/2014
Working in Office,11:30:00,13:50:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/18/2014,3/18/2014
Mayor-Council Open House,13:50:00,14:00:00,"City-County Building, 5th Floor. 414 Grant Street, Pittsburgh, PA 15219",3/18/2014,3/18/2014
Meeting with Robert Lewis,14:15:00,14:45:00,"Mayor&#39;s Office, 414 Grant Street, Pittsburgh, PA 15219",3/18/2014,3/18/2014
Women's Day Enrollment Event with Enroll America and Consumer Health Coalition,15:00:00,15:45:00,"Homewood YMCA,6907 Frankstown Road, Pittsburgh, PA 15235",3/18/2014,3/18/2014
Visiting McGowan Institute for Regenerative Medicine at PITT,16:00:00,17:00:00,"450 Technology Drive, Pittsburgh, PA 15219",3/18/2014,3/18/2014
B-PEP 1st Quarterly Meeting,18:00:00,19:30:00,"Freedom Unlimited Inc.,2201 Wylie Avenue, Pittsburgh, PA 15219",3/18/2014,3/18/2014
3 Rivers Workforce Investment Board Meeting,8:45:00,9:15:00,"650 Smithfield Street, Pittsburgh, PA 15222",3/19/2014,3/19/2014
Meeting with Ann Dugan,10:30:00,11:00:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/19/2014,3/19/2014
Working in Office,11:00:00,14:00:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/19/2014,3/19/2014
"Meeting with Director Glenn Cannon, PEMA",14:00:00,14:30:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/19/2014,3/19/2014
"Meeting with Dr. Karen Hacker, Director of Allegheny County Health Department",15:00:00,16:00:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/19/2014,3/19/2014
"City Communications Meeting with URA, PWSA, Public Safety, Housing Authority",16:00:00,17:00:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/19/2014,3/19/2014
Iron Lung Hockey League Game,23:00:00,0:00:00,"Location:Olympic Arena, 7600 Grand Avenue, Pittsburgh, PA 15225",3/19/2014,3/19/2014
Welcoming Remarks to Korean Delegation,10:00:00,10:30:00,"Mayor&#39;s conference room, 414 Grant Street, Pittsburgh, PA 15219",3/20/2014,3/20/2014
Meeting with People for Bikes,11:00:00,11:30:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/20/2014,3/20/2014
Lunch with Community Leaders and Councilwoman Smith,12:00:00,13:00:00,"Village Tavern and Trattoria,424 S Main Street, Pittsburgh, PA 15220",3/20/2014,3/20/2014
Working in office,13:00:00,14:30:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/20/2014,3/20/2014
Interview for film for the Confucius Institute at the University of Pittsburgh,14:30:00,15:00:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/20/2014,3/20/2014
Fire Promotion Ceremony,15:00:00,16:00:00,"Mayor&#39;s conference room, 414 Grant Street, Pittsburgh, PA 15219",3/20/2014,3/20/2014
Speaking at International Women's Forum,18:00:00,19:00:00,"Point Park University,201 Wood Street, Pittsburgh, PA 15222",3/20/2014,3/20/2014
Speaking at Pittsburgh Fulbright Seminar,19:45:00,20:30:00,"Heinz History Center,1212 Smallman Street, Pittsburgh, PA 15222",3/20/2014,3/20/2014
Speaking at African American Chamber of Commerce Power Breakfast,7:50:00,9:00:00,"Rivers Club,301 Grant Street, Pittsburgh, PA 15219",3/21/2014,3/21/2014
Working in Office,9:00:00,12:00:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/21/2014,3/21/2014
Opening remarks at 6th Annual Inclusive Voices Community luncheon hosted by PACE,12:00:00,12:15:00,"The Westin Convention Center,1000 Penn Avenue, Pittsburgh, PA 15222",3/21/2014,3/21/2014
"Meeting with Jerry Cozewith, President of Entrepreneuring Youth",12:30:00,13:30:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/21/2014,3/21/2014
Meeting with Rep. Frankel,14:00:00,14:30:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/21/2014,3/21/2014
"Interview for documentary film \Remaking Pittsburgh\""""",14:30:00,15:00:00,"Mayor&#39;s conference room, 414 Grant Street, Pittsburgh, PA 15219",3/21/2014,3/21/2014
Meeting with Allegheny County Exectuive Rich Fitzgerald ,16:00:00,17:00:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/21/2014,3/21/2014
Dinner with Senator Casey,17:00:00,18:30:00,414 Grant St.,3/21/2014,3/21/2014
"Day-long Summit on 21st Century Economic Development hosted by the City of Pittsburgh, Carnegie Mellon University, and the Brookings Institution",12:00:00,21:00:00,Carnegie Mellon University and tour of Pittsburgh,3/24/2014,3/24/2014
"Roundtable Discussion on Technology Infrastructure hosted by Mayor Peduto, the Brookings Institution, and Carnegie Mellon University",7:30:00,9:30:00,"Mayor&#39;s Conference room, 414 Grant Street, Pittsburgh, PA 15219",3/25/2014,3/25/2014
Meeting with Allegheny County Executive Fitzgerald,10:00:00,10:30:00,"County Executive Office, 436 Grant Street, Pittsburgh, PA 15219",3/25/2014,3/25/2014
Working in office,10:30:00,13:00:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/25/2014,3/25/2014
"Meeting with local government officials from Okayama, Japan",13:00:00,14:30:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/25/2014,3/25/2014
"Meeting with Bill Basil, Director of AmeriCorps",15:00:00,15:30:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/25/2014,3/25/2014
Weekly Chiefs Meeting,16:00:00,17:00:00,"Mayor&#39;s Conference room, 414 Grant Street, Pittsburgh, PA 15219",3/25/2014,3/25/2014
Presentation of Team Pittsburgh Boxing Trophy,17:30:00,18:00:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/25/2014,3/25/2014
Meeting with District Attorney Zappala,10:00:00,11:00:00,"County Courthouse, 436 Grant Street, Pittsburgh, PA 15219",3/26/2014,3/26/2014
Working in office,11:00:00,13:00:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/26/2014,3/26/2014
Meeting with Lenora Nemetz,13:00:00,13:30:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/26/2014,3/26/2014
Picture for Mine Factory Gallery,13:30:00,13:35:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/26/2014,3/26/2014
Meeting with Rev. Grayson,14:00:00,14:30:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/26/2014,3/26/2014
Act 47 Meeting,14:30:00,15:00:00,"City-County Building, 414 Grant Street, Pittsburgh, PA 15219",3/26/2014,3/26/2014
Working in office,15:00:00,18:00:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/26/2014,3/26/2014
Speaking at Mayor's Civic Leadership Academy,18:00:00,18:30:00,"Mayor&#39;s Conference room, 414 Grant Street, Pittsburgh, PA 15219",3/26/2014,3/26/2014
